Table 1
[Table],[Column],[DataType],[IsHidden],
_Меры,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,Date,Date,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,№Квартала,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,№Месяца,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,Год,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,День,Integer,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,Квартал,Text,true,
DateTableTemplate_fe70f573-fba4-4aca-b206-10fe9b8aad43,Месяц,Text,true,
event_rel (скоринг перв вход в анал за 60 д),DATE_CREATE,Date,false,
event_rel (скоринг перв вход в анал за 60 д),EVENT_TEXT_1,Text,false,
event_rel (скоринг перв вход в анал за 60 д),EVENT_TEXT_2,Text,false,
event_rel (скоринг перв вход в анал за 60 д),id лида,Integer,false,
event_rel (скоринг перв вход в анал за 60 д),OWNER_ID,Integer,false,
event_rel (скоринг перв вход в анал за 60 д),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_rel (скоринг перв вход в анал за 60 д),Скоринг Общий результат,Text,false,
event_rel (скоринг перв выход из собес за 60 д),DATE_CREATE,Date,false,
event_rel (скоринг перв выход из собес за 60 д),EVENT_TEXT_1,Text,false,
event_rel (скоринг перв выход из собес за 60 д),EVENT_TEXT_2,Text,false,
event_rel (скоринг перв выход из собес за 60 д),OWNER_ID,Integer,false,
event_rel (скоринг перв выход из собес за 60 д),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (Аналитика завершена - вперед),CREATED_TIME,Date,false,
event_relations (Аналитика завершена - вперед),DATE_CREATE,Date,false,
event_relations (Аналитика завершена - вперед),EVENT_TEXT_1,Text,false,
event_relations (Аналитика завершена - вперед),EVENT_TEXT_2,Text,false,
event_relations (Аналитика завершена - вперед),OWNER_ID,Integer,false,
event_relations (Аналитика завершена - вперед),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (Аналитика завершена - вперед),SEMANTICS,Text,false,
event_relations (Аналитика завершена - вперед),SEMANTICS_EVENT_TEXT_2,Text,false,
event_relations (Аналитика завершена - вперед),SORT,Integer,false,
event_relations (Аналитика завершена - вперед),SORT_EVENT_TEXT_2,Text,false,
event_relations (Аналитика завершена - вперед),STAGE_ID,Text,false,
event_relations (Аналитика завершена - вперед),TITLE,Text,false,
event_relations (Аналитика завершена - вперед),Категория,Text,false,
event_relations (Аналитика завершена - вперед),Количество переходов в стадию,Integer,false,
event_relations (Аналитика завершена - вперед),Первоначальный взнос,Text,false,
event_relations (Аналитика завершена - вперед),Суррогатный ключ_1,Text,false,
event_relations (все события),CREATED_TIME,Date,false,
event_relations (все события),DATE_CREATE,Date,false,
event_relations (все события),EVENT_TEXT_1,Text,false,
event_relations (все события),EVENT_TEXT_2,Text,false,
event_relations (все события),OWNER_ID,Integer,false,
event_relations (все события),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (все события),SEMANTICS,Text,false,
event_relations (все события),Кол-во переходов,Integer,false,
event_relations (первый вход за посл 60 дней),CREATED_TIME,Date,false,
event_relations (первый вход за посл 60 дней),DATE_CREATE,Date,false,
event_relations (первый вход за посл 60 дней),EVENT_TEXT_1,Text,false,
event_relations (первый вход за посл 60 дней),EVENT_TEXT_2,Text,false,
event_relations (первый вход за посл 60 дней),ID Группы,Text,false,
event_relations (первый вход за посл 60 дней),OWNER_ID,Integer,false,
event_relations (первый вход за посл 60 дней),RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
event_relations (первый вход за посл 60 дней),SEMANTICS,Text,false,
event_relations (первый вход за посл 60 дней),SORT,Integer,false,
event_relations (первый вход за посл 60 дней),STAGE_ID,Text,false,
event_relations (первый вход за посл 60 дней),Группа недели события,Text,false,
event_relations (первый вход за посл 60 дней),Группа стадий,Text,false,
event_relations (первый вход за посл 60 дней),Дата старта,Date,false,
event_relations (первый вход за посл 60 дней),Деление,Number,false,
event_relations (первый вход за посл 60 дней),Интервал от приема до события,Integer,false,
event_relations (первый вход за посл 60 дней),Категория,Text,false,
event_relations (первый вход за посл 60 дней),КМ,Text,false,
